nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesxy,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner,created_at,consolidated_longitude,consolidated_latitude,consolidated_code_postal,consolidated_commune,consolidated_is_lon_lat_correct,consolidated_is_code_insee_verified,consolidated_is_code_insee_modified,geo_point_borne,departement,region
SDE65,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP3720837740325409605,1434853,Révéo 2025/682358272ad83073f8d13144,Parking public,"Place des Truca Taoulès, Montgaillard 65200 France",,"0.107869, 43.125721",2,FRRVEEFRS65E653200012CP1,3909715,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-10-14,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.107869,43.125721,,,False,False,False,,,
Syndicat Départ d'Énergie des Hautes-Pyrénées,,contact@reveocharge.com,Load Stations,technical@load-stations.com,tel:+33-4-86-84-15-81,REVEO,FRRVEPFRS65E653690011,,FR-S65-E65369-001-1,Parking public,"Parking Espace Commercial Et Médical, 65369, Pouyastruc",65369,"0.173972222222222, 43.2747222",1,FRRVEEFRS65E653690011CP1,,22.0,True,True,False,False,False,False,True,False,False,,Accès libre,False,24/7,Accessibilité inconnue,Aucune restriction,False,Indirect,,2025-04-03,,2025-04-08,,2026-07-26T02:14:10+02:00,68b6c257027119acceb896c9,ae20a13d-45d9-4cc1-8644-1701ea6dd3eb,load-stations,2026-03-20T16:18:34+01:00,0.173972222222222,43.2747222,65350.0,Pouyastruc,True,True,False,,,
SDE65,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP6729696487255131043,1418419,Révéo 2025/677d493768941227e8587a4b,Parking public,"Route de Bigorre, Pouyastruc 65350 France",,"0.173972, 43.274722",4,FRRVEEFRS65E653690012CP1,3857992,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-03-31,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.173972,43.274722,,,False,False,False,,,
SDE65,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP247188753399807072,1425304,Révéo 2025/677d493868941227e8587a51,Voirie,"Place Centrale, Rabastens-de-Bigorre 65140 France",,"0.15, 43.38776",2,FRRVEEFRS65E653750012CP1,3881179,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-10-14,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.15,43.38776,,,False,False,False,,,
SDE65,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP4058226106019310226,1435084,Révéo 2025/682358372ad83073f8d13185,Parking public,"D223, Vignec 65170 France",,"0.320933, 42.820681",4,FRRVEEFRS65E6538800411,4818216,110.0,False,False,True,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-05-13,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.320933,42.820681,,,False,False,False,,,
Syndicat Départ d'Énergie des Hautes-Pyrénées,,contact@reveocharge.com,Load Stations,technical@load-stations.com,tel:+33-4-86-84-15-81,REVEO,FRRVEPFRS65E653880051,,FR-S65-E65388-005-1,Parking public,"15 Rue des Chardons, 65388, Saint-Lary-Soulan",65388,"0.324047, 42.8175441",3,FRRVEEFRS65E6538800513,,222.0,False,True,True,False,False,False,True,False,False,,Accès libre,False,24/7,Accessibilité inconnue,Aucune restriction,False,Indirect,,2026-02-19,,2026-02-19,,2026-07-26T02:14:10+02:00,68b6c257027119acceb896c9,ae20a13d-45d9-4cc1-8644-1701ea6dd3eb,load-stations,2026-03-20T16:18:34+01:00,0.324047,42.8175441,65170.0,Saint-Lary-Soulan,True,True,False,,,
SDE65,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP4250344235674205805,1434070,Révéo 2025/682358922ad83073f8d133b4,Parking privé à usage public,"Chemin du Hourquet, Séméac 65600 France",,"0.11091, 43.21363",17,FRRVEEFRS65E6541700151,3907531,150.0,False,False,True,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-07-07,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.11091,43.21363,,,False,False,False,,,
SDE65,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP4250344235674205805,1434070,Révéo 2025/682358922ad83073f8d133b4,Parking privé à usage public,"Chemin du Hourquet, Séméac 65600 France",,"0.11091, 43.21363",17,FRRVEEFRS65E6541700153,3907528,60.0,False,False,False,True,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-07-07,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.11091,43.21363,,,False,False,False,,,
SDE65,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP4573648774690950070,1434904,Révéo 2025/682350a62ad83073f8d110e4,Parking privé à usage public,"Avenue d'Altenkirchen, Tarbes 65000 France",,"0.07776, 43.22087",2,FRRVEEFRS65E654400091CP1,3909838,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-10-14,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.07776,43.22087,,,False,False,False,,,
Syndicat Départ d'Énergie des Hautes-Pyrénées,,contact@reveocharge.com,Load Stations,technical@load-stations.com,tel:+33-4-86-84-15-81,REVEO,FRRVEPFRS65E654400092,,FR-S65-E65440-009-2,Parking public,"piscine paul boyrie, 65440, Tarbes",65440,"0.07776, 43.22087",1,FRRVEEFRS65E654400092CP1,,22.0,True,True,False,False,False,False,True,False,False,,Accès libre,False,24/7,Accessibilité inconnue,Aucune restriction,False,Indirect,,2025-03-26,,2025-03-26,,2026-07-26T02:14:10+02:00,68b6c257027119acceb896c9,ae20a13d-45d9-4cc1-8644-1701ea6dd3eb,load-stations,2026-03-20T16:18:34+01:00,0.07776,43.22087,65000.0,Tarbes,True,True,False,,,
SDE65,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP3157748184128709541,1434874,Révéo 2025/68234ffe2ad83073f8d10dac,Parking public,"Rond-Point du Parc des Expositions, Tarbes 65000 France",,"0.083695, 43.219262",10,FRRVEEFRS65E6544001051,3909775,110.0,False,False,True,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-06-22,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.083695,43.219262,,,False,False,False,,,
Syndicat Départ d'Énergie des Hautes-Pyrénées,,contact@reveocharge.com,Load Stations,technical@load-stations.com,tel:+33-4-86-84-15-81,REVEO,FRRVEPFRS65E654400122,,FR-S65-E65440-012-2,Parking public,"Rue Georges Clemenceau, 65440, Tarbes",65440,"0.078039, 43.233254",1,FRRVEEFRS65E654400122CP1,,22.0,True,True,False,False,False,False,True,False,False,,Accès libre,False,24/7,Accessibilité inconnue,Aucune restriction,False,Indirect,,2025-04-02,,2025-05-01,,2026-07-26T02:14:10+02:00,68b6c257027119acceb896c9,ae20a13d-45d9-4cc1-8644-1701ea6dd3eb,load-stations,2026-03-20T16:18:34+01:00,0.078039,43.233254,65000.0,Tarbes,True,True,False,,,
SDE65,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP6858245669577206209,1434985,Révéo 2025/682350232ad83073f8d10e65,Voirie,"Place au Bois, Tarbes 65000 France",,"0.079676, 43.230038",2,FRRVEEFRS65E654400142CP1,3910009,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-10-14,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.079676,43.230038,,,False,False,False,,,
SDE65,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP5205477159551769133,1435075,Révéo 2025/682350102ad83073f8d10e07,Voirie,"3 Rue Gaston Dreyt, Tarbes 65000 France",,"0.065203, 43.230937",2,FRRVEEFRS65E654400151CP1,3910237,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-11-18,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.065203,43.230937,,,False,False,False,,,
Undefined,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP8147582139896386658,1520002,Révéo 2025/68b1ac25f3cf8a1e3e037afc,Parking privé à usage public,"50 Rue du Docteur Guinier, Séméac 65600 France",,"0.096534, 43.219687",8,FRRVEEFRS65E6544001611,4193425,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-11-07,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.096534,43.219687,,,False,False,False,,,
Undefined,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP2939729408474171170,1599351,Révéo 2025/692075090cb61dbeb80538dd,Parking public,"Avenue des Victimes du 11 Juin 1944, Trébons 65200 France",,"0.11993, 43.102179",2,FRRVEEFRS65E654510011,4450194,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-03-19,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.11993,43.102179,,,False,False,False,,,
Undefined,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP2939729408474171170,1599351,Révéo 2025/692075090cb61dbeb80538dd,Parking public,"Avenue des Victimes du 11 Juin 1944, Trébons 65200 France",,"0.11993, 43.102179",2,FRRVEEFRS65E654510012,4450191,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-03-19,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.11993,43.102179,,,False,False,False,,,
SDE65,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP946999439357144078,1435009,Révéo 2025/68234f6c2ad83073f8d10b19,Voirie,"Rue de l'Abreuvoir, Trie-sur-Baïse 65220 France",,"0.37302, 43.32151",4,FRRVEEFRS65E654520012CP1,4531965,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-01-20,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.37302,43.32151,,,False,False,False,,,
SDE65,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP4372309205625450580,1418371,Révéo 2025/677d494668941227e8587b19,Parking public,"Chemin de Saint-Lary, Vielle-Aure 65170 France",,"0.32667, 42.825605",4,FRRVEEFRS65E654650011CP1,3857854,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-10-14,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.32667,42.825605,,,False,False,False,,,
SDE65,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP3658063830712853616,1391533,Révéo 2025/677d494668941227e8587b1f,Parking public,"Chemin Biègle Bas, Vignec 65170 France",,"0.318077, 42.82594",3,FRRVEEFRS65E6547100111,3773101,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-05-16,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.318077,42.82594,,,False,False,False,,,
SDE65,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP3658063830712853616,1391533,Révéo 2025/677d494668941227e8587b1f,Parking public,"Chemin Biègle Bas, Vignec 65170 France",,"0.318077, 42.82594",3,FRRVEEFRS65E6547100112,4856355,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-05-16,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.318077,42.82594,,,False,False,False,,,
Syndicat Départ d'Énergie des Hautes-Pyrénées,,contact@reveocharge.com,Load Stations,technical@load-stations.com,tel:+33-4-86-84-15-81,REVEO,FRRVEPFRS65E654810011,,FR-S65-E65481-001-1,Parking public,"Parking Tournaboup, 65481, Barèges",65481,"0.10111, 42.90314",1,FRRVEEFRS65E654810011CP1,,22.0,True,True,False,False,False,False,True,False,False,,Accès libre,False,24/7,Accessibilité inconnue,Aucune restriction,False,Indirect,,2025-04-04,,2025-04-07,,2026-07-26T02:14:10+02:00,68b6c257027119acceb896c9,ae20a13d-45d9-4cc1-8644-1701ea6dd3eb,load-stations,2026-03-20T16:18:34+01:00,0.10111,42.90314,65120.0,Barèges,True,True,False,,,
SYDEEL66,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP7623196097143439995,1435030,Révéo 2025/68234edb2ad83073f8d108ca,Parking public,"Rue de la Poste, Les Angles 66210 France",,"2.073845, 42.578575",2,FRRVEEFRS66E660040011,3910108,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-10-14,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.073845,42.578575,,,False,False,False,,,
Undefined,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP1817693125287389788,1483369,Révéo 2025/685bd0141da44b427de902d2,Parking privé à usage public,"7 Rue du Tennis, Les Angles 66210 France",,"2.071622, 42.574565",2,FRRVEEFRS66E660040021,4094674,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-04-23,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.071622,42.574565,,,False,False,False,,,
SYDEEL66,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP4080593389138900382,1391950,Révéo 2025/677d48b568941227e8587311,Parking public,"Place du 8 Mai 1945, Baho 66540 France",,"2.821959, 42.701156",4,FRRVEEFRS66E660120011BCP1,3774619,22.0,False,True,False,False,True,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-12-19,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.821959,42.701156,,,False,False,False,,,
SYDEEL66,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP9209254208447898709,1435036,Révéo 2025/68234efc2ad83073f8d10940,Voirie,"Avenue Pierre Fabre, Banyuls-sur-Mer 66650 France",,"3.135404, 42.480062",3,FRRVEEFRS66E660160032,3910129,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-10-14,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,3.135404,42.480062,,,False,False,False,,,
Undefined,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP7764915828797247819,1536214,Révéo 2025/68c2bbb9f9ae9b7f81556cf9,Parking public,"Parking du Cimetiere, Fillols 66820 France",,"2.409654, 42.562061",2,FRRVEEFRS66E660780012,4238554,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-10-14,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.409654,42.562061,,,False,False,False,,,
SDEE des Pyrénées Orientales,,contact@reveocharge.com,Load Stations,technical@load-stations.com,tel:+33-4-86-84-15-81,REVEO,FRRVEPFRS66E66093001,,FR-S66-E66093-001,Parking public,"Parking - Rue du Stade, 66093, Laroque-des-Albères",66093,"2.935513388067875, 42.52353238567513",4,FRRVEEFRS66E660930011,,69.0,True,True,False,False,False,False,True,False,False,,Accès libre,False,24/7,Accessibilité inconnue,Aucune restriction,False,Indirect,,2026-01-07,,2026-04-30,,2026-07-26T02:14:10+02:00,68b6c257027119acceb896c9,ae20a13d-45d9-4cc1-8644-1701ea6dd3eb,load-stations,2026-03-20T16:18:34+01:00,2.935513388067875,42.52353238567513,66740.0,Laroque-des-Albères,True,True,False,,,
Undefined,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP3944349383211850954,1607211,Révéo 2025/6942b0b528d23fd947107497,Parking public,"Rue du Stade, Laroque-des-Albères 66740 France",,"2.935531, 42.523501",5,FRRVEEFRS66E660930013,4480410,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-06-15,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.935531,42.523501,,,False,False,False,,,
SYDEEL66,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP6712725136256538324,1435093,Révéo 2025/682351612ad83073f8d11391,Parking public,"Avenue du Général de Gaulle, Latour-de-France 66720 France",,"2.665722, 42.765605",3,FRRVEEFRS66E660960021,3910279,25.0,False,False,True,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-11-11,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.665722,42.765605,,,False,False,False,,,
SYDEEL66,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP6712725136256538324,1435093,Révéo 2025/682351612ad83073f8d11391,Parking public,"Avenue du Général de Gaulle, Latour-de-France 66720 France",,"2.665722, 42.765605",3,FRRVEEFRS66E660960022,3910282,25.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-11-11,True,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.665722,42.765605,,,False,False,False,,,
SYDEEL66,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP6712725136256538324,1435093,Révéo 2025/682351612ad83073f8d11391,Parking public,"Avenue du Général de Gaulle, Latour-de-France 66720 France",,"2.665722, 42.765605",3,FRRVEEFRS66E660960023,3910285,25.0,False,False,False,True,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-11-11,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.665722,42.765605,,,False,False,False,,,
SYDEEL66,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP868193628823045480,1516717,Révéo 2025/67fcdd6f16f92a96e9dbadf1,Voirie,"Rue Maillol, Font-Romeu-Odeillo-Via 66120 France",,"2.042004, 42.504626",4,FRRVEEFRS66E6612400211,4229143,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-11-07,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.042004,42.504626,,,False,False,False,,,
SDEE des Pyrénées Orientales,,contact@reveocharge.com,Load Stations,technical@load-stations.com,tel:+33-4-86-84-15-81,REVEO,FRRVEPFRS66E661240021,,FR-S66-E66124-002-1,Parking public,"Rue Maillol, 66124, Font-Romeu-Odeillo-Via",66124,"2.042004, 42.504626",2,FRRVEEFRS66E6612400212,,44.0,False,True,False,False,False,False,True,False,False,,Accès libre,False,24/7,Accessibilité inconnue,Aucune restriction,False,Indirect,,2025-09-12,,2026-04-30,,2026-07-26T02:14:10+02:00,68b6c257027119acceb896c9,ae20a13d-45d9-4cc1-8644-1701ea6dd3eb,load-stations,2026-03-20T16:18:34+01:00,2.042004,42.504626,66120.0,Font-Romeu-Odeillo-Via,True,True,False,,,
SDEE des Pyrénées Orientales,,contact@reveocharge.com,Load Stations,technical@load-stations.com,tel:+33-4-86-84-15-81,REVEO,FRRVEPFRS66E661240031,,FR-S66-E66124-003-1,Parking public,"Odeillo, 66124, Font-Romeu-Odeillo-Via",66124,"2.0322252944288817, 42.49729392860425",2,FRRVEEFRS66E6612400311,,44.0,False,True,False,False,False,False,True,False,False,,Accès libre,False,24/7,Accessibilité inconnue,Aucune restriction,False,Indirect,,2026-07-21,,2026-07-21,,2026-07-26T02:14:10+02:00,68b6c257027119acceb896c9,ae20a13d-45d9-4cc1-8644-1701ea6dd3eb,load-stations,2026-03-20T16:18:34+01:00,2.0322252944288817,42.49729392860425,66120.0,Font-Romeu-Odeillo-Via,True,True,False,,,
SDEE des Pyrénées Orientales,,contact@reveocharge.com,Load Stations,technical@load-stations.com,tel:+33-4-86-84-15-81,REVEO,FRRVEPFRS66E661240031,,FR-S66-E66124-003-1,Parking public,"Odeillo, 66124, Font-Romeu-Odeillo-Via",66124,"2.0322252944288817, 42.49729392860425",2,FRRVEEFRS66E6612400312,,44.0,False,True,False,False,False,False,True,False,False,,Accès libre,False,24/7,Accessibilité inconnue,Aucune restriction,False,Indirect,,2026-07-21,,2026-07-21,,2026-07-26T02:14:10+02:00,68b6c257027119acceb896c9,ae20a13d-45d9-4cc1-8644-1701ea6dd3eb,load-stations,2026-03-20T16:18:34+01:00,2.0322252944288817,42.49729392860425,66120.0,Font-Romeu-Odeillo-Via,True,True,False,,,
Undefined,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP8007773287595609784,1607475,Révéo 2025/695f9c383185c34dd6e74408,Parking public,"Avenue Emmanuel Brousse, Font-Romeu-Odeillo-Via 66120 France",,"2.042072, 42.50474",2,FRRVEEFRS66E661240051,4481103,11.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-01-27,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.042072,42.50474,,,False,False,False,,,
Undefined,,,REVEO SYADEN | FR*RVE,territoires@syaden.fr,,Révéo 2025,FRRVEP5879544097180465956,1482172,Révéo 2025/68776ebaeaa77cacc989980e,Parking public,"Parking du marché, Banyuls-sur-Mer 66650 France",,"3.126077, 42.48192",4,FRRVEEFRS66E6612400522,4090354,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-10-14,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,3.126077,42.48192,,,False,False,False,,,
SDEE des Pyrénées Orientales,,contact@reveocharge.com,Load Stations,technical@load-stations.com,tel:+33-4-86-84-15-81,REVEO,FRRVEPFRS66E661250021,,FR-S66-E66125-002-1,Parking public,"PNR - La Bastide, 66125, Olette",66125,"2.291669, 42.560426",1,FRRVEEFRS66E661250021CP1,,22.0,True,True,False,False,False,False,True,False,False,,Accès libre,False,24/7,Accessibilité inconnue,Aucune restriction,False,Indirect,,2025-03-17,,2026-05-21,,2026-07-26T02:14:10+02:00,68b6c257027119acceb896c9,ae20a13d-45d9-4cc1-8644-1701ea6dd3eb,load-stations,2026-03-20T16:18:34+01:00,2.291669,42.560426,66360.0,Olette,True,True,False,,,
